,earned,headline,hours,jobs,rate,skills
0,,Animator/ Illustrator,,,,"['Animation', 'Whiteboard Animation']"
1,$60k+,Language services for digital marketers,290,57,$80.00,"['Editing', 'Project Management', 'Content Writing', 'Blog Writing', 'Article Writing', 'Article Curation', 'Social Media Management']"
2,$60k+,Transcription Specialist,"3,107",169,$24.00,"['Transcription', 'Email Handling', 'Data Entry', 'Google Docs']"
3,$200k+,Linux Systems Engineer & AWS/EC2 Expert,"3,178",119,$100.00,"['Linux System Administration', 'Cluster Computing', 'Apache Administration', 'MySQL Administration', 'DNS', 'Amazon EC2', 'Ubuntu', 'CentOS', 'Nginx']"
4,$50k+,"Author Coach, Editor, Publishing Consultant","2,144",128,$50.00,"['Editing', 'ePub', 'Administrative Support', 'Project Management', 'Ghostwriting', 'Article Writing', 'Microsoft Excel', 'Public Relations', 'Graphic Design', 'Event Planning']"
5,$20k+,Senior PHP developer. Wordpress theme/plugin dev. Laravel/Ang JS/ionic,888,28,$38.00,"['Magento', 'Internet Marketing', 'WordPress', 'Wordpress Plugin', 'Laravel Framework', 'AngularJS', 'Ionic Framework', 'PhoneGap', 'Shopify', 'WordPress e-Commerce']"
6,$20k+,Certified Quickbooks Pro Advisor/Accounting/Bookkeepin,"2,012",78,$40.00,"['Intuit QuickBooks', 'Accounting', 'Bookkeeping', 'Accounts Payable Management', 'Accounts Receivable Management', 'Bank Reconciliation', 'Xero', 'Bill.com Accounts Receivable', 'Data Entry']"
7,$40k+,Expert writer and Eng/Spa translator with SMM experience,"1,117",95,$20.19,"['Spanish', 'Copywriting', 'Copyediting', 'Proofreading', 'Blog Writing', 'Customer Service', 'Journalism Writing', 'Newsletter Writing']"
8,$100k+,Expert WordPress Developer,"1,356",87,$97.00,"['WordPress', 'HTML5', 'HTML', 'CSS3', 'CSS', 'PHP', 'JavaScript', 'MySQL Administration', 'Content Writing']"
9,$10k+,Project Manager SEO/SMM/Writer/Editor,690,14,$33.33,"['Social Media Marketing', 'Facebook Marketing', 'Voice Over', 'Project Management', 'Copyediting', 'Copywriting', 'Virtual Assistant', 'Social Media Management', 'Video Post Editing']"
10,$100k+,PSD to Wordpress | Front-End Developer | Responsive Web Design,"3,364",253,$32.50,"['WordPress', 'Responsive Web Design', 'PSD to Wordpress', 'HTML5', 'Woocommerce', 'PSD to HTML', 'CSS3', 'PHP', 'jQuery', 'Web Design']"
11,$200k+,Experienced PHP/CodeIgniter Programmer,"7,200",34,$32.50,"['PHP', 'CodeIgniter', 'jQuery', 'Wordpress Plugin', 'C++', 'Qt', 'WxWidgets', 'Java', 'ASP']"
12,$80k+,Cloud & Database Platform Architect,"1,196",64,$80.00,"['Amazon Web Services', 'Database Design', 'Database Modeling', 'SQL', 'Private Clouds', 'DevOps']"
13,$100k+,.NET Developer - (MCSA) Microsoft Certified Solutions Associate,"6,478",57,$49.50,"['ASP.NET MVC', 'Google Maps API', 'Microsoft Windows Azure', 'Excel VBA', 'Microsoft SQL Server Programming', 'Database Modeling', 'JavaScript', 'ASP.NET', 'VBA', '.NET Framework']"
14,$50k+,Web Developer - (X)HTML/CSS/PHP/MySQL/JavaScript/Photoshop,"1,841",131,$75.00,"['CSS', 'HTML', 'PHP', 'WordPress', 'MySQL Administration', 'PhpBB', 'Adobe Photoshop', 'JavaScript', 'jQuery', 'Woocommerce']"
15,$100k+,Technical Writer/RoboHelp,"4,612",133,$33.33,"['Technical Writing', 'Technical Documentation', 'Adobe RoboHelp', 'SnagIt', 'Microsoft Word', 'Microsoft PowerPoint', 'Technical Editing']"
16,$100k+,"Copy and content pro: editor, writer, consultant, translator","3,163",381,$65.00,"['AP Style Writing', 'Business Writing', 'Content Creation', 'Content Writing', 'Copyediting', 'Copywriting', 'Product Descriptions', 'SEO Writing', 'Translation French English', 'Web Content Development']"
17,$10k+,Online Contractor,607,8,$20.00,"['Creative Writing', 'Internet Research', 'English Tutoring', 'Lesson Plan Writing']"
