,earned,headline,hours,jobs,rate,skills
0,$10k+,Digital and Hand-drawn Illustrator,392,84,$35.00,"['Illustration', 'Portrait Painting', 'Digital Painting', 'Drawing', 'Cover Design']"
1,$90k+,Physician Medical Writer and Consultant,222,76,$125.00,"['Medical Writing', 'Content Writing', 'Scientific Writing', 'Research Papers', 'Copywriting', 'Medical Devices', 'Academic Writing', 'Research', 'Ghostwriting', 'Pharmaceutical Industry']"
2,$20k+,Hotel/Vacation Rental Consultant and Travel Content Creator,587,27,$58.00,"['Hospitality', 'Business Consulting', 'Social Media Management', 'Email Handling', 'Central Reservation Systems', 'Travel Planning', 'Reputation Management', 'Blog Writing', 'Travel Writing', 'Virtual Assistant']"
3,$50k+,Facebook Ads Expert | AdWords Certified | Social Media Expert,831,65,$75.00,"['Facebook Marketing', 'Social Media Management', 'Social Media Marketing', 'Google AdWords', 'Twitter Marketing', 'YouTube Marketing', 'Instagram Marketing', 'Social Media Optimization (SMO)', 'Pay Per Click Advertising']"
4,$40k+,"Data, statistical, and econometric modeling, analysis and writing",566,21,$125.00,"['R', 'Python', 'Scikit-Learn', 'TensorFlow', 'SAS', 'Natural Language Processing', 'SQL', 'Excel VBA', 'Econometrics', 'Writing']"
5,$100k+,Marketing Technology Strategist for Marketo | Hubspot | Salesforce,"1,308",13,$125.00,"['Marketo', 'Salesforce.com', 'HubSpot', 'Marketing Automation', 'B2B Marketing', 'Sales Operations', 'Marketing Strategy', 'Data Analytics', 'Lead Generation', 'Landing Pages']"
6,$6k+,Graphic Designer and Content Marketer,204,22,$30.00,"['Graphic Design', 'Adobe Creative Suite', 'Content Writing', 'Social Media Management', 'Email Marketing', 'HTML', 'CSS', 'Infographics', 'Logo Design', 'Copywriting']"
7,$10k+,"Aspiring Writer, Creator, and Customer Service Guru",904,4,$12.00,"['Creative Writing', 'News Writing Style', 'Voice Talent', 'Copywriting', 'Customer Service', 'Customer Support', 'Social Customer Service', 'Radio Broadcasting']"
8,$5k+,Social Media Marketer,447,4,$20.00,"['Social Media Marketing', 'Social Media Management', 'Public Relations', 'Blog Writing', 'Content Writing', 'Copywriting', 'Creative Writing', 'Brand Consulting']"
9,$30k+,SEO Expert | Rank on Google | Website Optimizations | Keyword Research,401,38,$100.00,"['Digital Marketing', 'Content Strategy', 'Content Marketing', 'Digital Strategy', 'Search Engine Optimization (SEO)', 'Inbound Marketing']"
10,$50k+,UX and Visual Designer,903,81,$87.49,"['User Experience Design', 'Graphic Design', 'Interaction Design', 'User Interface Design', 'Adobe Illustrator', 'Web Design', 'Graphics Programming', 'Illustration']"
11,$40k+,"Data Entry, CS, Amazon Product and Web Researcher & Admin Tasks","15,161",18,$15.00,"['Game Development', 'HTML', 'Administrative Support', 'Amazon Webstore', 'Amazon Web Services', 'Microsoft Excel', 'Microsoft PowerPoint', 'WordPress', 'Microsoft Word', 'Game Testing']"
12,$20k+,Qualified and Available for the right Opportunity,"2,014",56,$10.00,"['Email Handling', 'Microsoft Excel', 'Microsoft Word', 'Social Media Marketing', 'Project Management', 'Email Marketing', 'Customer Service', 'Facebook Marketing', 'Google Docs', 'WordPress']"
13,$70k+,Content Specialist,800,177,$40.00,"['Content Writing', 'Blog Writing', 'Copywriting', 'SEO Keyword Research', 'Press Release Writing', 'Brand Marketing', 'Brand Management', 'Search Engine Marketing (SEM)', 'Pay Per Click', 'Google AdWords']"
14,$60k+,Web and Mobile Designer and Developer,"2,872",77,$40.00,"['Graphic Design', 'Print Design', 'Web Design', 'Adobe Photoshop', 'Adobe Illustrator', 'Adobe Creative Suite', 'Typography', 'HTML', 'CSS', 'PSD to HTML']"
15,$60k+,"High-Level Digital Marketing, SEO, Social Media, Content Management","2,308",11,NA,[]
16,$40k+,"Experienced Researcher, Proofreader, and Data Entry Professional","4,169",7,$16.67,"['Copyediting', 'Internet Research', 'Internet Surveys', 'Copywriting']"
17,$20k+,"Editor: deep content/rewriting, line edit, copy edit, proofreader",710,162,$24.00,"['Copyediting', 'Proofreading']"
18,$100k+,customer service - verification,"9,463",3,$13.33,[]
19,NA,Wright Media,NA,NA,NA,"['Video Editing', 'Graphic Design']"
20,$90k+,Translator/Proofreader,"1,407",67,$25.00,"['Translation', 'Spanish', 'Proofreading', 'Data Entry']"
21,$200k+,Project / Operations Manager,"4,381",26,$85.00,"['Project Management', 'Product Management', 'Agile Software Development', 'Operations Management', 'Recruiting', 'Accounts Payable Management', 'Budgeting & Forecasting', 'Atlassian JIRA', 'Team Building', 'Leadership Development']"
